kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
6,9,ME,9,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
7,3,ME,1,ME,ME,0,ME,ME
6,9,ME,9,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
5,6,ME,9,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,7,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,1,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
4,7,ME,4,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,2,ME,ME
4,7,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,1,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
5,6,ME,9,ME,ME,0,ME,ME
4,5,ME,1,ME,ME,9,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,7,ME,ME,1,ME,ME
8,8,ME,1,ME,ME,8,ME,ME
3,8,ME,7,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
5,6,ME,5,ME,ME,0,ME,ME
7,3,ME,7,ME,ME,2,ME,ME
6,9,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
5,6,ME,9,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
4,7,ME,2,ME,ME,2,ME,ME
2,1,ME,9,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
5,6,ME,6,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
5,6,ME,1,ME,ME,1,ME,ME
7,3,ME,0,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,1,ME,ME
7,3,ME,0,ME,ME,3,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
8,7,ME,2,ME,ME,4,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
4,7,ME,1,ME,ME,9,ME,ME
6,9,ME,6,ME,ME,0,ME,ME
2,1,ME,4,ME,ME,5,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
5,6,ME,6,ME,ME,0,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,2,ME,ME
7,3,ME,7,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
0,0,ME,0,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
6,9,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,1,ME,2,ME,ME,2,ME,ME
5,6,ME,1,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
8,8,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
7,3,ME,6,ME,ME,1,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,9,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,7,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,1,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,0,ME,ME,6,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,9,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
5,6,ME,0,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,9,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,1,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,0,ME,ME
1,5,ME,1,ME,ME,3,ME,ME
7,3,ME,0,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
8,8,ME,1,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
4,7,ME,0,ME,ME,4,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,0,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,2,ME,ME
0,0,ME,4,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,0,ME,ME,6,ME,ME
6,9,ME,1,ME,ME,1,ME,ME
1,5,ME,7,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,0,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
8,8,ME,2,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,0,ME,ME
1,5,ME,2,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
0,0,ME,1,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
3,1,ME,7,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,1,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
4,7,ME,1,ME,ME,3,ME,ME
6,9,ME,9,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
5,6,ME,1,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
5,6,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
8,8,ME,9,ME,ME,8,ME,ME
5,6,ME,9,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
6,9,ME,9,ME,ME,8,ME,ME
4,7,ME,2,ME,ME,4,ME,ME
5,6,ME,9,ME,ME,2,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
8,8,ME,9,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,1,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
6,9,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,1,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,3,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,4,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
5,6,ME,6,ME,ME,0,ME,ME
6,9,ME,7,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,1,ME,ME,1,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
4,7,ME,1,ME,ME,4,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
7,3,ME,0,ME,ME,6,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
4,0,ME,1,ME,ME,3,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
0,0,ME,0,ME,ME,3,ME,ME
5,6,ME,9,ME,ME,0,ME,ME
6,9,ME,7,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
5,6,ME,9,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
9,6,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
5,6,ME,6,ME,ME,0,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,1,ME,ME,1,ME,ME
8,8,ME,7,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
0,0,ME,0,ME,ME,3,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
2,1,ME,6,ME,ME,0,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,1,ME,ME,2,ME,ME
7,3,ME,4,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
4,7,ME,2,ME,ME,4,ME,ME
7,3,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
3,2,ME,7,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,0,ME,ME,6,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
7,3,ME,4,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,3,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
8,8,ME,7,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
4,7,ME,2,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
7,3,ME,4,ME,ME,6,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
6,1,ME,9,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,4,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
4,7,ME,1,ME,ME,9,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,6,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
9,4,ME,6,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
9,4,ME,4,ME,ME,1,ME,ME
3,1,ME,7,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
1,5,ME,7,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,1,ME,ME
0,0,ME,4,ME,ME,3,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
0,0,ME,4,ME,ME,1,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
6,9,ME,7,ME,ME,2,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
5,6,ME,0,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,2,ME,ME
6,9,ME,6,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
6,9,ME,9,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
1,5,ME,7,ME,ME,8,ME,ME
0,0,ME,1,ME,ME,1,ME,ME
8,8,ME,7,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
5,6,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,8,ME,ME
0,0,ME,4,ME,ME,1,ME,ME
8,8,ME,2,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
4,7,ME,8,ME,ME,3,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
0,0,ME,7,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
4,7,ME,1,ME,ME,3,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
6,9,ME,7,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
9,4,ME,6,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
0,0,ME,1,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,7,ME,ME,2,ME,ME
8,8,ME,7,ME,ME,8,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
0,0,ME,0,ME,ME,1,ME,ME
6,9,ME,1,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
6,9,ME,6,ME,ME,0,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
5,6,ME,6,ME,ME,1,ME,ME
4,7,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
5,9,ME,9,ME,ME,1,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,3,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
5,6,ME,9,ME,ME,2,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
7,3,ME,7,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
1,5,ME,7,ME,ME,8,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
4,7,ME,1,ME,ME,3,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
2,1,ME,0,ME,ME,5,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
4,7,ME,2,ME,ME,4,ME,ME
2,1,ME,5,ME,ME,0,ME,ME
6,9,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
9,4,ME,0,ME,ME,0,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
5,6,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
0,0,ME,7,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
4,7,ME,1,ME,ME,3,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
5,6,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
8,8,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
4,7,ME,2,ME,ME,4,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
9,4,ME,0,ME,ME,0,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
5,6,ME,9,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
6,9,ME,9,ME,ME,2,ME,ME
2,1,ME,9,ME,ME,2,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
2,3,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
2,0,ME,0,ME,ME,3,ME,ME
2,1,ME,7,ME,ME,2,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
9,4,ME,6,ME,ME,0,ME,ME
9,4,ME,0,ME,ME,0,ME,ME
4,7,ME,1,ME,ME,3,ME,ME
7,3,ME,1,ME,ME,1,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
2,1,ME,0,ME,ME,1,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
7,3,ME,6,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,8,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
1,5,ME,2,ME,ME,9,ME,ME
1,5,ME,2,ME,ME,8,ME,ME
7,3,ME,7,ME,ME,6,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
7,3,ME,7,ME,ME,1,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
7,3,ME,6,ME,ME,6,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
2,1,ME,0,ME,ME,0,ME,ME
2,1,ME,0,ME,ME,2,ME,ME
9,4,ME,4,ME,ME,5,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
1,5,ME,1,ME,ME,9,ME,ME
3,2,ME,7,ME,ME,7,ME,ME
7,3,ME,1,ME,ME,6,ME,ME
